id,keyword,volume,position,estimated_visits,cpc,paid_difficulty,seo_difficulty,ranking_url,city,state,country,region,url_location,area,category,business_category,product_category,source,url_keyword,unknown_col,remaining_url_keywords,priority
4599,azad pur delhi,18100,49,38,$0.10,2,19,https://www.mappls.com/place-azad+pur+bus+stop-mall+road-azadpur-new+delhi-delhi-110033-B52JSC@zdata=MjguNzA3NTcrNzcuMTgwNjM3KzE3K0I1MkpTQysrbnI=ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,azad pur,,place bus stop mall road azadpur new 110033 b52jsc zdata mjgunza3ntcrnzcumtgwnjm3kze3k0i1mkptqysrbni ed,1
4600,ashok cosmos mall agra,12100,15,135,$0.14,12,20,https://www.mappls.com/3f7bbn,,,,,,,,,,mappls.com,,,3f7bbn,1
4601,alwar railway station,12100,30,38,$0.14,8,18,https://www.mappls.com/place-alwar+railway+station-nehru+marg-indira+colony-alwar-rajasthan-301001-764C1D@zdata=MjcuNTU5ODQ4Kzc2LjYyMTQ4NSsxNys3NjRDMUQrK25yed,,Rajasthan,India,North,,,,,,mappls.com,alwar railway station,,place nehru marg indira colony alwar 301001 764c1d zdata mjcuntu5odq4kzc2ljyymtq4nssxnys3njrdmuqrk25yed,1
4602,alipore,18100,54,38,$0,4,38,https://www.mappls.com/place-alipore+police+station-8-belvedere+road-kolkata-west+bengal-700027-58dfb2@zdata=MjIuNTI4MDQyKzg4LjMzNjMwOCsxNys1OGRmYjIrKw==ed,Kolkata,,,,Kolkata,,,,,mappls.com,alipore,,place police station belvedere road bengal 700027 58dfb2 zdata mjiunti4mdqykzg4ljmznjmwocsxnys1ogrmyjirkw ed,1
4603,zomato delivery map,18100,28,38,$0,1,28,https://www.mappls.com/qltat0,,,,,,,,,,mappls.com,,,qltat0,1
4604,joshi marg,14800,4,2932,$0.10,5,19,https://www.mappls.com/place-joshi+marg+kalwad+road-bhaumiya+nagar-shyampuri+colony-jhotwara-jaipur-rajasthan-302012-XCP35G@zdata=MjYuOTQ1MDAyKzc1LjczNzAzOSsxNytYQ1AzNUcrK25yed,Jaipur,Rajasthan,India,North,Jaipur,,,,,mappls.com,joshi marg,,place kalwad road bhaumiya nagar shyampuri colony jhotwara 302012 xcp35g zdata mjyuotq1mdaykzc1ljcznzazossxnytyq1aznucrk25yed,1
4605,iti gate,18100,8,1761,$0.09,6,19,https://www.mappls.com/km3rfw,,,,,,,,,,mappls.com,,,km3rfw,1
4606,industrial estate guindy,18100,55,38,$0.13,7,17,https://www.mappls.com/nn1m56,,,,,,,,,,mappls.com,,,nn1m56,1
4607,hcl it city lucknow,18100,36,38,$0.15,7,20,https://www.mappls.com/hcg8yt,,,,,,,,,,mappls.com,,,hcg8yt,1
4608,haldiram karol bagh,18100,16,106,$0.16,11,22,https://www.mappls.com/kvv2pb,,,,,,,,,,mappls.com,,,kvv2pb,1
4609,green valley apartment,18100,11,356,$0.12,3,17,https://www.mappls.com/9p0i2y,,,,,,,,,,mappls.com,,,9p0i2y,1
4610,karnataka food centre,18100,14,271,$0.09,2,22,https://www.mappls.com/place-karnataka+food+centre-delhi+karnataka+sangha+building-rao+tula+ram+marg-sector+12-rk+puram-new+delhi-delhi-110022-n9d80q@zdata=MjguNTc3Nzg5Kzc3LjE3NTIzNysxNytuOWQ4MHErKw==ed,,Karnataka,India,South,,,Restaurant,Food & Dining,Food & Dining,mappls.com,centre,,place delhi sangha building rao tula ram marg sector 12 rk puram new delhi delhi 110022 n9d80q zdata mjguntc3nzg5kzc3lje3ntiznysxnytuowq4mherkw ed,1
4611,virar india,18100,25,48,$0.07,1,44,https://www.mappls.com/315k6z,,,,,,,,,,mappls.com,,,315k6z,1
4612,venkateshwara theatre 4k 3d,14800,21,59,$0.19,16,20,https://www.mappls.com/place-sri+venkateswara+theatre-venkateshwara+theatre+main+road-kr+puram-duravani+nagar-bengaluru-karnataka-560036-kbxyx6@zdata=MTMuMDA1MTMrNzcuNjk2NjUzKzE3K2tieHl4Nisred,Bengaluru,Karnataka,India,South,Bengaluru,,,,,mappls.com,venkateshwara theatre,,place sri venkateswara theatre main road kr puram duravani nagar 560036 kbxyx6 zdata mtmumda1mtmrnzcunjk2njuzkze3k2tiehl4nisred,1
4613,una gujarat,14800,32,38,$0.18,1,34,https://www.mappls.com/direction-from--to-+una,,,,,,,,,,,,,,1
4614,tv tower pitampura,18100,12,356,$0,8,21,https://www.mappls.com/place-tv+tower-colony+road-pitampura-new+delhi-delhi-110034-5ft86f@zdata=MjguNjk3MTg2Kzc3LjE1MDIwNCsxNys1ZnQ4NmYrKw==ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,tv tower pitampura,,place colony road new 110034 5ft86f zdata mjgunjk3mtg2kzc3lje1mdiwncsxnys1znq4nmyrkw ed,1
4615,tnr north city mall,12100,16,106,$0.15,10,20,https://www.mappls.com/h7ji3h,,,,,,,,,,mappls.com,,,h7ji3h,1
4616,tirupur usha cinemas,18100,13,135,$0.04,2,20,https://www.mappls.com/fzj2mk,,,,,,,,,,mappls.com,,,fzj2mk,1
4617,manipal hal,18100,17,101,$0.43,10,31,https://www.mappls.com/ae3s1d,,,,,,,,,,mappls.com,,,ae3s1d,1
4618,manali airport,18100,56,38,$0.07,11,27,https://www.mappls.com/place-kullu+manali+airport-bhuntar-kullu+district-himachal+pradesh-175125-34BECB@zdata=MzEuODc2OTc3Kzc3LjE1MjA5MisxNyszNEJFQ0IrK25yed,Manali,,,,Manali,,,,,mappls.com,airport,,place kullu bhuntar kullu district himachal pradesh 175125 34becb zdata mzeuodc2otc3kzc3lje1mja5misxnysznejfq0irk25yed,1
4619,mallikarjuna theatre,18100,24,41,$0,2,24,https://www.mappls.com/ed65a2,,,,,,,,,,mappls.com,,,ed65a2,1
4620,lucknow bench court view,18100,10,204,$0,1,17,https://www.mappls.com/xw25pv,,,,,,,,,,mappls.com,,,xw25pv,1
4621,l block,18100,16,204,$0.16,4,18,https://www.mappls.com/yd9c33,,,,,,,,,,mappls.com,,,yd9c33,1
4622,railway station alwar,18100,29,38,$0.06,2,22,https://www.mappls.com/place-alwar+railway+station-nehru+marg-indira+colony-alwar-rajasthan-301001-764C1D@zdata=MjcuNTU5ODQ4Kzc2LjYyMTQ4NSsxNys3NjRDMUQrK25yed,,Rajasthan,India,North,,,,,,mappls.com,railway station alwar,,place nehru marg indira colony alwar 301001 764c1d zdata mjcuntu5odq4kzc2ljyymtq4nssxnys3njrdmuqrk25yed,1
4623,rahmat nagar,18100,14,204,$0.12,5,18,https://www.mappls.com/qbux8j,,,,,,,,,,mappls.com,,,qbux8j,1
4624,r r cinema roorkee,18100,14,106,$0.01,1,20,https://www.mappls.com/gl2984,,,,,,,,,,mappls.com,,,gl2984,1
4625,pin code andheri east,18100,64,38,$0,1,17,https://www.mappls.com/place-andheri+east+mumbai-maharashtra-400069+mumbai-Q2SLHR@zdata=MTkuMTE5NDU1KzcyLjg0OTg5OCsxNytRMlNMSFI=ed,Mumbai,Maharashtra,India,West,Mumbai,Andheri,,,,mappls.com,,,place 400069 q2slhr zdata mtkumte5ndu1kzcyljg0otg5ocsxnytrmlnmsfi ed,1
4626,nearby beer shopee,18100,7,1192,$0,1,15,https://www.mappls.com/8dl12k,,,,,,,,,,mappls.com,,,8dl12k,1
4627,mp nagar bhopal,18100,32,38,$0.09,2,19,https://www.mappls.com/place-mp+nagar+police+station-jail+road-near+narmada+bhawan+square-maharana+pratap+nagar-bhopal-madhya+pradesh-462004-86BSC5@zdata=MjMuMjM1MDI1Kzc3LjQyODk5MSsxNys4NkJTQzUrK25yed,Bhopal,,,,Bhopal,,,,,mappls.com,mp nagar,,place police station jail road narmada bhawan square maharana pratap nagar madhya pradesh 462004 86bsc5 zdata mjmumjm1mdi1kzc3ljqyodk5mssxnys4nkjtqzurk25yed,1
4628,mori gate parking,14800,6,1192,$0,7,20,https://www.mappls.com/place-mori+gate+parking+no+1-mori+gate-new+delhi-delhi-110006-92R1L1@zdata=MjguNjY2OTUrNzcuMjI3MDIyKzE3KzkyUjFMMSsrbnI=ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,mori gate parking,,place no mori gate new 110006 92r1l1 zdata mjgunjy2oturnzcumji3mdiykze3kzkyujfmmssrbni ed,1
